TIME,CPU_LOAD,GPU_LOAD,MEM,SWAP,CURR,TEMP_CPU,TEMP_GPU
1670287915.370129,65.0,0,88.47765853658537,0.0288,3304,43.5,44.5
1670287915.8144588,63.0,0,88.4069268292683,0.0288,3304,43.0,44.5
1670287916.314157,66.25,0,88.4088780487805,0.0288,3304,43.0,44.5
1670287916.8284242,68.25,0,88.42429268292683,0.0288,3304,43.5,44.5
1670287917.375695,61.5,0,88.44858536585366,0.0288,3304,43.5,44.0
1670287917.8988183,65.75,0,88.40068292682926,0.0288,3304,43.0,44.5
1670287918.3943844,67.0,0,88.42126829268292,0.0288,3304,43.0,44.0
1670287918.9187722,66.0,0,88.46663414634146,0.0288,3304,43.5,44.5
1670287919.4162695,61.75,0,88.39668292682927,0.0288,3304,43.5,44.5
1670287919.8919013,67.25,0,88.40380487804877,0.0288,3304,43.0,44.5
1670287920.385527,68.25,0,88.42614634146342,0.0288,3304,43.5,44.0
1670287920.9184973,63.25,0,88.45375609756097,0.0288,3304,43.5,44.5
1670287921.4104714,63.75,0,88.41024390243902,0.0288,3304,43.5,44.5
1670287921.9189887,65.5,0,88.41551219512195,0.0288,3304,43.0,44.0
1670287922.4279175,69.0,0,88.42087804878048,0.0288,3304,43.5,44.5
1670287922.9654672,61.0,0,88.43434146341464,0.0288,3304,43.0,44.5
1670287923.4554875,66.75,0,88.39580487804878,0.0288,3304,43.5,44.5
1670287923.9539585,68.25,0,88.43551219512194,0.0288,3304,43.0,44.5
1670287924.4693258,64.25,0,88.45082926829268,0.0288,3304,43.5,44.5
1670287924.9557498,63.5,0,88.41297560975609,0.0288,3304,43.0,44.5
1670287925.4540288,67.25,0,88.4069268292683,0.0288,3304,43.0,44.5
1670287925.9635563,67.5,0,88.43278048780488,0.0288,3304,43.5,44.5
1670287926.4969485,63.0,0,88.46029268292683,0.0288,3304,43.5,44.5
1670287927.0185833,66.0,0,88.43229268292683,0.0288,3304,42.5,44.0
1670287927.535461,73.25,0,88.43268292682926,0.0288,3304,44.0,44.5
1670287927.9802084,72.0,0,88.47395121951219,0.0288,3304,43.5,44.0
1670287928.5181723,81.75,0,88.59717073170732,0.0288,3304,43.0,44.5
